pet -ペット-,https://animenext.jp/works/5815
劇場版 ハイスクール・フリート,https://animenext.jp/works/6008
劇場版 SHIROBAKO,https://animenext.jp/works/6011
BanG Dream! 3rd Season,https://animenext.jp/works/6039
推しが武道館いってくれたら死ぬ,https://animenext.jp/works/6059
劇場版 ヴァイオレット・エヴァーガーデン,https://animenext.jp/works/6153
アイドリッシュセブン Second BEAT!,https://animenext.jp/works/6163
マギアレコード 魔法少女まどか☆マギカ外伝,https://animenext.jp/works/6244
ぼくのとなりに暗黒破壊神がいます。,https://animenext.jp/works/6255
ゆるキャン△ ショートアニメ「へやキャン△」,https://animenext.jp/works/6293
とある科学の超電磁砲T,https://animenext.jp/works/6301
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,https://animenext.jp/works/6321
ダーウィンズゲーム,https://animenext.jp/works/6328
ドロヘドロ,https://animenext.jp/works/6335
オルタード・カーボン：リスリーブド,https://animenext.jp/works/6339
虫籠のカガステル,https://animenext.jp/works/6340
攻殻機動隊 SAC_2045,https://animenext.jp/works/6397
痛いのは嫌なので防御力に極振りしたいと思います。,https://animenext.jp/works/6399
ハイキュー!! TO THE TOP 第1クール,https://animenext.jp/works/6408
白猫プロジェクト ZERO CHRONICLE,https://animenext.jp/works/6414
うまよん,https://animenext.jp/works/6415
八男って、それはないでしょう！,https://animenext.jp/works/6416
魔術士オーフェンはぐれ旅,https://animenext.jp/works/6422
理系が恋に落ちたので証明してみた。,https://animenext.jp/works/6438
虚構推理,https://animenext.jp/works/6462
劇場版 Fate/stay night [Heaven's Feel] III.spring song,https://animenext.jp/works/6464
インフィニット・デンドログラム,https://animenext.jp/works/6468
A3! SEASON SPRING & SUMMER,https://animenext.jp/works/6475
邪神ちゃんドロップキック’,https://animenext.jp/works/6481
恋する小惑星,https://animenext.jp/works/6508
継つぐもも,https://animenext.jp/works/6526
グレイプニル,https://animenext.jp/works/6527
異常生物見聞録,https://animenext.jp/works/6533
プリンセスコネクト！Re:Dive,https://animenext.jp/works/6540
Re:ゼロから始める異世界生活 2ndシーズン,https://animenext.jp/works/6582
やはり俺の青春ラブコメはまちがっている。完,https://animenext.jp/works/6584
鹿の王,https://animenext.jp/works/6597
number24,https://animenext.jp/works/6599
ゴブリンスレイヤー -GOBLIN’S CROWN-,https://animenext.jp/works/6601
啄木鳥探偵處,https://animenext.jp/works/6603
